,subject_id,NUMBER_OF_INSTALLMENTS,SANCTION_AMT,TOT_OUTSTD_BAL,OVER_DUE_AMT,AMOUNT_OF_INSTALLMENT,DEFAULT,REPAYMENT_FREQUENCY_AnnualInstalments360Days,REPAYMENT_FREQUENCY_AtTheFinalDayOfThePeriodOfContract,REPAYMENT_FREQUENCY_FortnightlyInstalments15Days,REPAYMENT_FREQUENCY_IrregularInstalments,REPAYMENT_FREQUENCY_MonthlyInstalments30Days,REPAYMENT_FREQUENCY_SixMonthInstalments180Days,INSTALMENT_LOAN_TYPE_BusinessLoan,INSTALMENT_LOAN_TYPE_ConsumerLoan,INSTALMENT_LOAN_TYPE_CreditCard,INSTALMENT_LOAN_TYPE_LeasingFinancial,INSTALMENT_LOAN_TYPE_LineOfCreditOnCurrentAccount,INSTALMENT_LOAN_TYPE_MortgageLoan,INSTALMENT_LOAN_TYPE_OtherInstalmentOperation,INSTALMENT_LOAN_TYPE_Overdraft,loan_status_Existing,loan_status_TerminatedAccordingTheContract,loan_status_TerminatedInAdvanceCorrectly,loan_status_TerminatedInAdvanceIncorrectly
81,110116010001894758,48.0,13600000.0,7366666.74,0.0,442000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
82,110113010000257246,9.0,3000000.0,0.0,2180886.06,422070.24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
83,110113010000527805,60.0,4500000.0,2550000.0,0.0,138750.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
84,110113010000513538,60.0,5400000.0,2520000.0,0.0,157500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
85,110113010000451213,72.0,2890000.0,2006944.42,0.0,76263.89,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
86,110113010000432682,72.0,10500000.0,9596569.97,0.0,270092.65,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
87,110116010001949964,6.0,1300000.0,1083333.33,0.0,255666.67,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
88,110114010001045607,22.0,2704619.4,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
89,110118010002639678,72.0,9000000.0,8148739.34,0.0,231507.98,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
90,110115010001386075,72.0,4000000.0,3414714.75,0.0,102892.44,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
91,110115010001558989,9.0,2000000.0,0.0,267043.35,280128.49,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
92,110117010002364993,9.0,800000.0,0.0,112854.82,120190.43,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
93,110118010002615429,36.0,4400000.0,4058440.79,0.0,174943.23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
94,110115010001307987,51.0,12956740.99,5364050.6,537029.29,394418.43,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
95,110113010000257762,6.0,1500000.0,0.0,554391.51,300268.42,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
96,110115010001311392,60.0,5800000.0,2416666.55,0.0,164333.34,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
97,110113010000257211,12.0,3000000.0,0.0,921754.72,338476.23,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
98,110114010001047032,6.0,1000000.0,0.0,713262.25,200178.95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
99,110117010002148901,10.0,800000.0,0.0,610337.94,111283.75,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
100,110118010002614213,72.0,7300000.0,7167327.51,0.0,196641.39,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
101,110117010002357861,8.0,1800000.0,1575000.0,225000.0,279000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
102,110113010000236845,12.0,2000000.0,0.0,428454.14,232058.46,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
103,110114010001051326,9.0,4000000.0,545362.91,0.0,575357.83,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
104,110118010002638736,48.0,2000000.0,1950867.78,24354.88,66314.26,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
105,110113010000256349,6.0,1000000.0,0.0,536527.42,197017.47,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
106,110114010001051271,9.0,1500000.0,0.0,1252263.61,215759.19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
107,110116010001970983,8.0,3000000.0,0.0,885726.33,483107.83,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
108,110116010001738623,6.0,600000.0,0.0,113845.83,120107.37,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
109,110115010001542987,48.0,3100000.0,2408911.53,0.0,102787.1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
111,110115010001479748,48.0,1800000.0,1404503.72,0.0,59682.83,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
112,110113010000254909,12.0,3500000.0,0.0,1071330.86,392664.92,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
113,110115010001342240,9.0,1500000.0,0.0,1226152.36,215759.19,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
114,110115010001544360,60.0,10000000.0,5333333.24,0.0,308333.34,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
115,110118010002640066,24.0,2500000.0,2419777.23,123.84,133428.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
116,110113010000475802,12.0,10000000.0,833333.37,1013478.51,1008333.33,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
117,110117010002361140,60.0,8000000.0,6363704.77,0.0,211951.07,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
118,110115010001559019,12.0,1600000.0,0.0,633742.87,177479.18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
119,110114010000823173,12.0,3000000.0,0.0,322358.31,338476.23,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
120,110116010001738683,8.0,600000.0,0.0,332002.22,94718.41,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
121,110113010000233834,6.0,2000000.0,0.0,379486.12,400357.9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
122,110117010002377977,60.0,10998000.0,9705892.09,0.0,291379.73,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
123,110117010002378005,24.0,30000000.0,19930374.63,0.0,1613933.71,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
124,110113010000300324,60.0,7889000.0,7595498.47,0.0,225947.97,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
125,110114010000811737,77.0,4170000.0,1983360.1,0.0,110664.92,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
126,110113010000281853,62.0,2720000.0,0.0,0.0,81519.15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
127,110113010000293316,60.0,25500000.0,24265410.69,0.0,730342.66,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
128,110117010002360875,61.0,6310000.0,5102837.77,0.0,180724.01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
129,110115010001599732,46.0,3000000.0,701.44,701.44,102543.49,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
130,110114010001007667,61.0,5200000.0,3463338.45,0.0,152263.6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
131,110117010002360322,73.0,75000000.0,74387877.51,0.0,1884459.55,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
132,110117010002383899,36.0,5000000.0,0.0,0.0,202960.82,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
134,110115010001599435,60.0,4750000.0,2955910.47,0.0,132435.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
135,110113010000296177,61.0,12890000.0,9798081.39,0.0,369181.05,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
136,110113010000298526,29.0,15500000.0,4604188.87,4604188.87,464077.27,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
137,110117010002384406,61.0,10200000.0,8192765.61,0.0,270237.61,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
138,110113010000293901,52.0,8100000.0,855681.73,855681.73,238000.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
139,110114010000536713,60.0,9000000.0,8877848.44,0.0,257768.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
140,110117010002360433,60.0,30000000.0,12636811.38,0.0,794816.51,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
141,110114010000818147,61.0,5100000.0,0.0,0.0,155993.88,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
142,110118010002652141,61.0,5000000.0,5018082.2,0.0,143204.44,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
144,110113010000367149,72.0,6700000.0,3845163.16,0.0,179014.7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
145,110113010000299365,60.0,16200000.0,12163284.29,0.0,429200.92,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
146,110113010000282877,62.0,3800000.0,0.0,0.0,105859.81,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
148,110114010000846293,72.0,5653000.0,1285958.28,0.0,139293.79,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
149,110114010000700590,61.0,10000000.0,7916734.66,0.0,286408.88,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
150,110114010000819056,72.0,10819000.0,4931756.1,0.0,284568.42,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
151,110115010001600218,36.0,3470000.0,2483628.51,0.0,132028.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
152,110113010000280853,61.0,7013000.0,6986376.41,0.0,200858.55,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
153,110113010000282941,18.0,9000000.0,8348403.52,8348403.52,247751.98,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
155,110118010002650755,61.0,8000000.0,7973979.43,0.0,229127.11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
157,110115010001597651,19.0,3700000.0,2598106.88,2598106.88,105971.29,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
158,110115010001340464,12.0,10000000.0,4389026.63,0.0,934741.03,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
160,110117010002360204,60.0,8800000.0,7053591.14,0.0,238550.38,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
161,110113010000258194,60.0,9000000.0,4295154.7,0.0,235501.01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
162,110115010001597797,29.0,8100000.0,6068291.34,6068291.34,231991.2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
163,110117010002383564,9.0,15793000.0,15600664.78,15600664.78,427253.71,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
164,110113010000284995,61.0,4000000.0,1409948.13,0.0,117125.85,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
